Date,Time,Close,Open,High,Low,Volume
20260918,115800,83700,83700,83700,83600,268
20260918,115900,83700,83600,83700,83600,502
20260918,120000,83800,83700,83800,83700,233
20260918,120100,83700,83600,83700,83600,309
20260918,120200,83700,83700,83700,83600,574
20260918,120300,83700,83700,83700,83600,195
20260918,120400,83700,83700,83700,83600,698
20260918,120500,83700,83700,83800,83600,654
20260918,120600,83800,83700,83800,83700,341
20260918,120700,83600,83700,83800,83600,778
20260918,120800,83700,83700,83700,83600,456
20260918,120900,83600,83700,83700,83600,492
20260918,121000,83700,83700,83700,83600,429
20260918,121100,83600,83700,83700,83600,374
20260918,121200,83700,83700,83700,83600,338
20260918,121300,83700,83700,83700,83600,360
20260918,121400,83700,83700,83700,83600,50
20260918,121500,83600,83700,83700,83500,1491
20260918,121600,83600,83600,83600,83500,799
20260918,121700,83600,83600,83600,83500,440
20260918,121800,83600,83600,83600,83600,366
20260918,121900,83600,83600,83600,83500,261
20260918,122000,83400,83600,83600,83300,3202
20260918,122100,83400,83400,83400,83300,523
20260918,122200,83400,83400,83500,83300,915
20260918,122300,83500,83500,83500,83400,308
20260918,122400,83500,83500,83500,83400,430
20260918,122500,83400,83500,83500,83400,511
20260918,122600,83500,83500,83500,83400,339
20260918,122700,83500,83500,83500,83400,323
20260918,122800,83500,83500,83500,83400,78
20260918,122900,83500,83400,83500,83400,555
20260918,123000,83500,83450,83500,83400,114
20260918,123100,83500,83500,83500,83400,1115
20260918,123200,83500,83400,83500,83400,318
20260918,123300,83500,83500,83500,83400,360
20260918,123400,83400,83500,83500,83400,1028
20260918,123500,83400,83300,83400,83300,708
20260918,123600,83400,83400,83500,83400,739
20260918,123700,83400,83400,83400,83400,600
20260918,123800,83400,83300,83400,83300,219
20260918,123900,83400,83400,83400,83300,825
20260918,124000,83400,83400,83400,83300,516
20260918,124100,83400,83400,83500,83300,565
20260918,124200,83400,83450,83500,83300,176
20260918,124300,83500,83400,83500,83400,899
20260918,124400,83400,83400,83500,83400,211
20260918,124500,83500,83400,83500,83400,625
20260918,124600,83500,83500,83500,83400,240
20260918,124700,83600,83500,83600,83400,2965
20260918,124800,83700,83600,83700,83500,394
20260918,124900,83700,83700,83800,83600,2166
20260918,125000,83800,83700,83800,83700,310
20260918,125100,83650,83750,83800,83650,1024
20260918,125200,83700,83700,83700,83600,255
20260918,125300,83800,83700,83800,83600,601
20260918,125400,83700,83700,83800,83600,722
20260918,125500,83700,83700,83700,83600,434
20260918,125600,83600,83700,83700,83600,2147
20260918,125700,83700,83700,83700,83700,495
20260918,125800,83700,83700,83700,83600,388
20260918,125900,83700,83600,83700,83600,419
20260918,130000,83700,83700,83700,83600,317
20260918,130100,83600,83700,83800,83600,1530
20260918,130200,83700,83600,83700,83600,567
20260918,130300,83600,83700,83700,83600,784
20260918,130400,83700,83700,83700,83700,261
20260918,130500,83600,83700,83700,83550,1778
20260918,130600,83600,83500,83600,83500,358
20260918,130700,83600,83600,83600,83600,415
20260918,130800,83600,83600,83600,83500,1432
20260918,130900,83550,83500,83600,83500,299
20260918,131000,83500,83600,83700,83500,1277
20260918,131100,83600,83600,83700,83500,734
20260918,131200,83500,83700,83700,83400,2874
20260918,131300,83500,83500,83500,83450,715
20260918,131400,83500,83500,83500,83400,647
20260918,131500,83500,83500,83500,83400,387
20260918,131600,83400,83400,83450,83300,1537
20260918,131700,83300,83400,83400,83300,525
20260918,131800,83400,83400,83400,83300,130
20260918,131900,83300,83400,83400,83300,428
20260918,132000,83400,83400,83400,83300,728
20260918,132100,83300,83300,83400,83300,449
20260918,132200,83350,83300,83400,83300,557
20260918,132300,83400,83400,83400,83300,419
20260918,132400,83200,83300,83400,83100,6341
20260918,132500,83200,83200,83200,83100,708
20260918,132600,83100,83200,83200,83100,534
20260918,132700,83200,83200,83200,83100,455
20260918,132800,83200,83200,83200,83100,276
20260918,132900,83200,83200,83200,83100,197
20260918,133000,83200,83200,83200,83100,2831
20260918,133100,83300,83300,83300,83200,507
20260918,133200,83400,83300,83400,83200,1626
20260918,133300,83400,83300,83400,83300,329
20260918,133400,83300,83400,83400,83200,1761
20260918,133500,83300,83300,83300,83200,740
20260918,133600,83400,83300,83400,83300,320
20260918,133700,83400,83400,83400,83300,357
20260918,133800,83400,83300,83400,83300,671
20260918,133900,83400,83400,83400,83300,870
20260918,134000,83400,83400,83500,83300,2107
20260918,134100,83400,83400,83400,83300,1691
20260918,134200,83300,83400,83400,83300,478
20260918,134300,83400,83400,83400,83300,112
20260918,134400,83400,83400,83400,83300,262
20260918,134500,83300,83400,83400,83300,464
20260918,134600,83400,83400,83400,83300,243
20260918,134700,83300,83400,83400,83300,383
20260918,134800,83400,83400,83400,83300,178
20260918,134900,83400,83400,83400,83300,467
20260918,135000,83400,83400,83400,83300,322
20260918,135100,83300,83400,83400,83300,285
20260918,135200,83400,83400,83400,83300,437
20260918,135300,83400,83400,83400,83300,256
20260918,135400,83400,83300,83400,83300,2722
20260918,135500,83400,83400,83400,83300,73
20260918,135600,83300,83300,83400,83300,257
20260918,135700,83300,83400,83400,83300,2082
20260918,135800,83200,83400,83400,83200,812
20260918,135900,83300,83200,83300,83200,302
20260918,140000,83300,83300,83300,83200,437
20260918,140100,83200,83200,83300,83200,317
20260918,140200,83300,83200,83300,83200,708
20260918,140300,83300,83300,83300,83200,247
20260918,140400,83200,83300,83300,83200,543
20260918,140500,83200,83300,83300,83200,515
20260918,140600,83100,83200,83300,83100,3766
20260918,140700,83100,83200,83200,83100,643
20260918,140800,83200,83200,83200,83100,520
20260918,140900,83100,83200,83200,83100,2069
20260918,141000,83100,83100,83200,83000,2475
20260918,141100,83100,83100,83100,83000,1284
20260918,141200,83100,83100,83100,83000,540
20260918,141300,83200,83100,83300,83000,3720
20260918,141400,83300,83300,83300,83200,992
20260918,141500,83200,83200,83400,83200,628
20260918,141600,83300,83300,83400,83300,1111
20260918,141700,83400,83300,83500,83300,1632
20260918,141800,83400,83400,83500,83200,947
20260918,141900,83400,83400,83500,83300,3105
20260918,142000,83300,83400,83500,83300,1581
20260918,142100,83300,83300,83400,83200,553
20260918,142200,83300,83300,83400,83300,669
20260918,142300,83400,83400,83400,83200,1023
20260918,142400,83200,83350,83350,83200,658
20260918,142500,83200,83300,83300,83200,647
20260918,142600,83300,83250,83300,83200,919
20260918,142700,83300,83200,83300,83200,754
20260918,142800,83300,83300,83300,83200,802
20260918,142900,83200,83300,83300,83200,738
20260918,143000,83300,83200,83300,83200,1160
20260918,143100,83200,83300,83300,83200,800
20260918,143200,83300,83200,83300,83200,660
20260918,143300,83200,83300,83300,83200,704
20260918,143400,83200,83300,83300,83200,1490
20260918,143500,83200,83300,83300,83200,926
20260918,143600,83300,83200,83300,83200,758
20260918,143700,83300,83200,83300,83200,1159
20260918,143800,83200,83200,83300,83200,768
20260918,143900,83300,83200,83300,83200,1063
20260918,144000,83200,83300,83300,83200,826
20260918,144100,83200,83200,83300,83200,799
20260918,144200,83200,83200,83300,83100,3868
20260918,144300,83200,83150,83200,83100,1660
20260918,144400,83200,83200,83200,83100,973
20260918,144500,83200,83100,83200,83100,2084
20260918,144600,83200,83100,83200,83100,859
20260918,144700,83100,83100,83200,83100,632
20260918,144800,83100,83100,83200,83100,1571
20260918,144900,83200,83100,83200,83100,679
20260918,145000,83200,83200,83200,83100,784
20260918,145100,83200,83100,83200,83100,649
20260918,145200,83200,83100,83200,83100,769
20260918,145300,83200,83100,83200,83100,1431
20260918,145400,83100,83100,83200,83100,741
20260918,145500,83100,83100,83200,83100,808
20260918,145600,83100,83100,83200,83100,720
20260918,145700,83100,83200,83200,83100,1009
20260918,145800,83200,83100,83200,83100,580
20260918,145900,83100,83100,83200,83100,3172
20260918,150000,83200,83200,83200,83100,1356
20260918,150100,83100,83100,83100,83000,2598
20260918,150200,83100,83000,83200,83000,2368
20260918,150300,83200,83000,83200,83000,2677
20260918,150400,83100,83100,83200,83100,769
20260918,150500,83100,83100,83200,83100,835
20260918,150600,83100,83100,83200,83100,706
20260918,150700,83100,83100,83200,83100,860
20260918,150800,83200,83100,83200,83100,763
20260918,150900,83200,83100,83200,83100,1199
20260918,151000,83100,83100,83200,83100,942
20260918,151100,83200,83100,83200,83100,1770
20260918,151200,83100,83200,83200,83100,1838
20260918,151300,83200,83100,83200,83000,1798
20260918,151400,83000,83100,83200,83000,1259
20260918,151500,83100,83000,83100,83000,1712
20260918,151600,83000,83100,83100,83000,1492
20260918,151700,83100,83000,83100,83000,3083
20260918,151800,83100,83000,83200,83000,1963
20260918,151900,83100,83100,83300,83100,2284
20260918,152000,83100,83100,83100,83100,0
20260918,152100,83100,83100,83100,83100,0
20260918,152200,83100,83100,83100,83100,0
20260918,152300,83100,83100,83100,83100,0
20260918,152400,83100,83100,83100,83100,0
20260918,152500,83100,83100,83100,83100,0
20260918,152600,83100,83100,83100,83100,0
20260918,152700,83100,83100,83100,83100,0
20260918,152800,83100,83100,83100,83100,0
20260918,152900,83100,83100,83100,83100,0
20260918,153000,82900,82900,82900,82900,106422
20260918,153100,82900,82900,82900,82900,0
20260918,153200,82900,82900,82900,82900,0
20260918,153300,82900,82900,82900,82900,0
20260918,153400,82900,82900,82900,82900,0
20260918,153500,82900,82900,82900,82900,0
